dir_path	before	after
C:\Users\works\yet\meditation	Day - Ease Into It - 30 Days of Yoga.mp4	Day - Ease Into It - 30 Days of Yoga_Eng.mp4
C:\Users\works\yet\meditation	_ Pure Clean Positive Energy Vibration_ Meditation Music, Healing Music, Relax Mind Body & Soul (1).mp4	_ Pure Clean Positive Energy Vibration_ Meditation Music, Healing Music, Relax Mind Body & Soul (1)_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres - Boogie Back To Yokosuka.mp4	Les Freres - Boogie Back To Yokosuka_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres - Lupin The Third _ルパン三世のテーマ.mp4	Les Freres - Lupin The Third _ルパン三世のテーマ_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres - 桜.mp4	Les Freres - 桜_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres Club IKSPIARI.mp4	Les Freres Club IKSPIARI_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres G sign.mp4	Les Freres G sign_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres On y va!.mp4	Les Freres On y va!_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres Ooh See Boogie.mp4	Les Freres Ooh See Boogie_Eng.mp4
C:\Users\works\yet\tmp_mp4	Les Freres.mp4	Les Freres_Eng.mp4
C:\Users\works\yet\tmp_mp4	Vanessa Carlton - Dreams (Fleetwood Mac Cover) - [Audio Only].mp4	Vanessa Carlton - Dreams (Fleetwood Mac Cover) - [Audio Only]_Eng.mp4
C:\Users\works\yet\tmp_mp4	Vanessa Carlton - Nolita Fairytale.mp4	Vanessa Carlton - Nolita Fairytale_Eng.mp4
C:\Users\works\yet\tmp_mp4	Vanessa Carlton - Ordinary Day.mp4	Vanessa Carlton - Ordinary Day_Eng.mp4
C:\Users\works\yet\tmp_mp4	Vanessa Carlton - Pretty Baby.mp4	Vanessa Carlton - Pretty Baby_Eng.mp4
C:\Users\works\yet\tmp_mp4	Vanessa Carlton - White Houses.mp4	Vanessa Carlton - White Houses_Eng.mp4
C:\Users\works\yet\tmp_mp4	「君の名は。」心震えるピアノメドレー【作業用BGM】 Kimi no Na wa Emotional OST [piano&violin].mp4	「君の名は。」心震えるピアノメドレー【作業用BGM】 Kimi no Na wa Emotional OST [piano&violin]_Eng.mp4
C:\Users\works\yet\tmp_mp4	【MMD艦これ】鹿島 ラジオ体操第一.mp4	【MMD艦これ】鹿島 ラジオ体操第一_Eng.mp4
C:\Users\works\yet\tmp_mp4	【テクニック】ナチュラル眉毛 お手入れ基礎編[公式].mp4	【テクニック】ナチュラル眉毛 お手入れ基礎編[公式]_Eng.mp4
C:\Users\works\yet\tmp_mp4	音ゲー知らない人にも聞いてほしい!名曲メドレー(作業用BGM).mp4	音ゲー知らない人にも聞いてほしい!名曲メドレー(作業用BGM)_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 11  Watch anime online, English anime online (1).mp4	3D Kanojo Real Girl_#11_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 12  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#12_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 14  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#14_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 1  Watch anime online, English anime online.mp4	Harukana Receive_#01_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 2  Watch anime online, English anime online.mp4	Harukana Receive_#02_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 3  Watch anime online, English anime online.mp4	Harukana Receive_#03_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 4  Watch anime online, English anime online.mp4	Harukana Receive_#04_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 5  Watch anime online, English anime online.mp4	Harukana Receive_#05_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 6  Watch anime online, English anime online.mp4	Harukana Receive_#06_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 7  Watch anime online, English anime online.mp4	Harukana Receive_#07_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 8  Watch anime online, English anime online.mp4	Harukana Receive_#08_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 15  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#15_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 16  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#16_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 17  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#17_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 18  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#18_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 19  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#19_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 20  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#20_Eng.mp4
C:\Users\works\yet\IC	Harukana Receive Episode 9  Watch anime online, English anime online.mp4	Harukana Receive_#09_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 1  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#01_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 2  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#02_Eng.mp4
C:\Users\works\yet\IC	Hataraku Saibou (TV) Episode 3  Watch anime online, English anime online.mp4	Hataraku Saibou (TV)_#03_Eng.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 1 eng sub.mp4	Happy Sugar Life_#1 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 2 eng sub.mp4	Happy Sugar Life_#2 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 3 eng sub.mp4	Happy Sugar Life_#3 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 4 eng sub.mp4	Happy Sugar Life_#4 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 5 eng sub.mp4	Happy Sugar Life_#5 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 6 eng sub.mp4	Happy Sugar Life_#6 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 7 eng sub.mp4	Happy Sugar Life_#7 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 8 eng sub.mp4	Happy Sugar Life_#8 eng sub.mp4
C:\Users\works\yet\IC\Happy_Sugar_Life_Eng	Happy Sugar Life Episode 9 eng sub.mp4	Happy Sugar Life_#9 eng sub.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 3  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#03_Eng.mp4
C:\Users\works\yet\IC	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Episode 4  Watch anime online, English anime online.mp4	Isekai Maou to Shoukan Shoujo no Dorei Majutsu_#04_Eng.mp4
